KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath,localpath,hue,saturation,brightness,cluster,title_c,author_c,year_c,specattr_c,sprocess_c,cluster_c
159,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,112b,K. Hazura,Photogalvanograph,specimens_resized/159_S.JPG,specimens_resized_panel/159_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/159_S.JPG,26.0,0.09180289023963822,0.5937786216460268,6,7,4,4,7,7,3
160,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,120b,E. Albert & Co.,Photogravure,specimens_resized/160_S.JPG,specimens_resized_panel/160_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/160_S.JPG,43.0,0.15636142329891628,0.5327487621933195,10,7,4,4,7,2,7
161,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,152b,"Meisenbach, Riffarth & Co.",Photogravure,specimens_resized/161_S.JPG,specimens_resized_panel/161_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/161_S.JPG,35.0,0.1987642493916687,0.4842995238459967,8,7,4,4,7,2,6
162,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,1a,J. Blechinger,Photogravure,specimens_resized/162_S.JPG,specimens_resized_panel/162_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/162_S.JPG,14.0,0.06815681611918642,0.5135255896913221,10,7,4,7,7,2,7
163,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,68b,J. Blechinger,Photogravure,specimens_resized/163_S.JPG,specimens_resized_panel/163_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/163_S.JPG,27.0,0.09296925674027806,0.5343276748548581,3,7,4,7,7,2,4
164,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,100b,J. Blechinger,Photogravure,specimens_resized/164_S.JPG,specimens_resized_panel/164_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/164_S.JPG,47.0,0.08232610333170405,0.5204301533757832,7,7,4,7,7,2,1
165,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,136b,Neue Photographie Gescellschaft ,Gelatin silver DOP,specimens_resized/165_S.JPG,specimens_resized_panel/165_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/165_S.JPG,32.0,0.1621075275206232,0.4365272671568627,10,7,4,7,7,3,7
166,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,168b,"Meisenbach, Riffarth & Co.",Photogravure,specimens_resized/166_S.JPG,specimens_resized_panel/166_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/166_S.JPG,42.0,0.1965418671000458,0.5574081460414353,8,7,4,7,7,2,6
167,TR1. A8,Atelier des Photographen,Unnamed ,1896,None,184b,Blechinger & Leykauf ,Photogravure,specimens_resized/167_S.JPG,specimens_resized_panel/167_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/167_S.JPG,29.0,0.11086004526445276,0.5682406184561203,10,7,4,7,7,2,7
168,TR1. A8,Atelier des Photographen,Unnamed ,1897,None,85b,Neue Photographie Gescellschaft,Gelatin silver DOP,specimens_resized/168_S.JPG,specimens_resized_panel/168_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/168_S.JPG,41.0,0.1168393888229394,0.5198426436546841,10,7,4,7,7,3,7
169,TR1. A8,Atelier des Photographen,Unnamed ,1897,None,102b,Blechinger & Leykauf ,Photogravure,specimens_resized/169_S.JPG,specimens_resized_panel/169_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/169_S.JPG,38.0,0.06208380004769325,0.5222453261012924,7,7,4,7,7,2,1
