KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath
981,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,September,385a,None,Gelatin silver DOP,specimens_resized/981_S.JPG,specimens_resized_panel/981_S.JPG
982,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,October,433a,None,Gelatin silver DOP,specimens_resized/982_S.JPG,specimens_resized_panel/982_S.JPG
983,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,December,529a,None,Gelatin silver DOP,specimens_resized/983_S.JPG,specimens_resized_panel/983_S.JPG
984,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1898,January,1a,None,Gelatin silver DOP,specimens_resized/984_S.JPG,specimens_resized_panel/984_S.JPG
985,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1898,February,49a,None,Gelatin silver DOP,specimens_resized/985_S.JPG,specimens_resized_panel/985_S.JPG
986,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1898,March,97a,None,Gelatin silver DOP,specimens_resized/986_S.JPG,specimens_resized_panel/986_S.JPG
987,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1898,May,193a,None,Gelatin silver DOP,specimens_resized/987_S.JPG,specimens_resized_panel/987_S.JPG
988,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1898,July,289a,None,Gelatin silver DOP,specimens_resized/988_S.JPG,specimens_resized_panel/988_S.JPG
989,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1898,August,337a,None,Gelatin silver DOP,specimens_resized/989_S.JPG,specimens_resized_panel/989_S.JPG
990,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1898,September,385a,None,Gelatin silver DOP,specimens_resized/990_S.JPG,specimens_resized_panel/990_S.JPG
991,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1898,November,481a,None,Gelatin silver DOP,specimens_resized/991_S.JPG,specimens_resized_panel/991_S.JPG
992,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1899,July,289a,None,Gelatin silver DOP,specimens_resized/992_S.JPG,specimens_resized_panel/992_S.JPG
993,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1899,August,337a,None,Gelatin silver DOP,specimens_resized/993_S.JPG,specimens_resized_panel/993_S.JPG
994,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1899,September,385a,None,Gelatin silver DOP,specimens_resized/994_S.JPG,specimens_resized_panel/994_S.JPG
995,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1899,October,433a,None,Gelatin silver DOP,specimens_resized/995_S.JPG,specimens_resized_panel/995_S.JPG
996,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1899,November,481a,None,Gelatin silver DOP,specimens_resized/996_S.JPG,specimens_resized_panel/996_S.JPG
997,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1899,December,529a,None,Gelatin silver DOP,specimens_resized/997_S.JPG,specimens_resized_panel/997_S.JPG
1044,TR 145. D23,"La Photographie, vol. I",Alphonse Davanne,1888,None,316b,M. Sautter de Beauregard,Gelatin silver DOP,specimens_resized/1044_S.JPG,specimens_resized_panel/1044_S.JPG
1045,TR 145. D23,"La Photographie, vol. 2",Alphonse Davanne,1888,None,1a ,Boussod Valadon & Cie.,Photogravure,specimens_resized/1045_S.JPG,specimens_resized_panel/1045_S.JPG
1046,TR 145. D23,"La Photographie, vol. 2",Alphonse Davanne,1888,None,266b,M. Becchard,Collotype,specimens_resized/1046_S.JPG,specimens_resized_panel/1046_S.JPG
1047,TR 145. H4,Photograph A Treatise,"Heath, A.S. and A.H. ",1855,None,1a ,None,Albumen silver print,specimens_resized/1047_S.JPG,specimens_resized_panel/1047_S.JPG
1048,TR 145. M58 1873,Traite General de Photographie,None,1873,None,242b,None,Albumen silver print,specimens_resized/1048_S.JPG,specimens_resized_panel/1048_S.JPG
1049,TR 145. M58,Traite General de Photographie,None,1873,None,352b,None,Woodburytype,specimens_resized/1049_S.JPG,specimens_resized_panel/1049_S.JPG
1050,TR 145. M58,Traite General de Photographie,None,1873,None,353a,None,Photogravure,specimens_resized/1050_S.JPG,specimens_resized_panel/1050_S.JPG
1051,TR 145. R67,Manuel Theorique et Pratiquede Photographie sur Collodion et Albumine,Edmond Robiquet,1859,None,105a,None,Photogravure,specimens_resized/1051_S.JPG,specimens_resized_panel/1051_S.JPG
1052,TR 145. T61,History and Handbook of Photography,Gaston Tissandier,1876,None,1a ,B.J. Edwards,Photogravure,specimens_resized/1052_S.JPG,specimens_resized_panel/1052_S.JPG
1053,TR 145. T7518,The Silver Sunbeam,John Towler,1876,None,1a  ,Edward M. Estabrooke,Tintype,specimens_resized/1053_S.JPG,specimens_resized_panel/1053_S.JPG
1054,TR 145. T7518,The Silver Sunbeam,John Towler,1876,None,441a,Edward M. Estabrooke,Tintype,specimens_resized/1054_S.JPG,specimens_resized_panel/1054_S.JPG
1055,TR 145. V88,The Chemistry of Light and Photography,H.W. Vogel,1876,None,224b,None,Electro plate from a chromated gelatin plate,specimens_resized/1055_S.JPG,specimens_resized_panel/1055_S.JPG
1056,TR 145. V88,The Chemistry of Light and Photography,H.W. Vogel,1876,None,225a,None,Copper plates etching from a chromated gelatin plate,specimens_resized/1056_S.JPG,specimens_resized_panel/1056_S.JPG
1057,TR 145. V88,The Chemistry of Light and Photography,H.W. Vogel,1876,None,237a,None,Collotype,specimens_resized/1057_S.JPG,specimens_resized_panel/1057_S.JPG
1058,TR 145. V88,The Chemistry of Light and Photography,H.W. Vogel,1876,None,246b,Unnamed ,Photolithograph,specimens_resized/1058_S.JPG,specimens_resized_panel/1058_S.JPG
1059,TR 145. V91,Handbook of Photography,H.W. Vogel,1871,None,242,None,Albumen silver print,specimens_resized/1059_S.JPG,specimens_resized_panel/1059_S.JPG
1060,TR 145. V91,Handbook of Photography,H.W. Vogel,1871,None,244,None,Albumen silver print,specimens_resized/1060_S.JPG,specimens_resized_panel/1060_S.JPG
1061,TR 145. V92,Handbook of the Practice and Art of Photography,H.W. Vogel,1875,None,303,None,Albumen silver print,specimens_resized/1061_S.JPG,specimens_resized_panel/1061_S.JPG
1062,TR 145. V92,Handbook of the Practice and Art of Photography,H.W. Vogel,1875,None,304,None,Albumen silver print,specimens_resized/1062_S.JPG,specimens_resized_panel/1062_S.JPG
1063,TR 145. W72,Wilson's Photographics,Edward L. Wilson,1881,None,1a ,None,Collotype,specimens_resized/1063_S.JPG,specimens_resized_panel/1063_S.JPG
1064,TR 145. W72,Wilson's Photographics,Edward L. Wilson,1881,None,76b,None,Collotype,specimens_resized/1064_S.JPG,specimens_resized_panel/1064_S.JPG
1065,TR 146. H4,Modern Photography in Theory and Practice,Henry G. Abbott,1898,None,150b,None,Gelatin POP,specimens_resized/1065_S.JPG,specimens_resized_panel/1065_S.JPG
1066,TR 146. P94,How to Make Pictures,Henry Clay Price,1882,None,1a ,None,Albumen silver print,specimens_resized/1066_S.JPG,specimens_resized_panel/1066_S.JPG
1067,TR 146. R75,Como Fazer Photographias,T. C. Troche,1884,None,1a ,None,Collotype,specimens_resized/1067_S.JPG,specimens_resized_panel/1067_S.JPG
1068,TR 146. R75,Como Fazer Photographias,T. C. Troche,1884,None,96b,None,Collotype,specimens_resized/1068_S.JPG,specimens_resized_panel/1068_S.JPG
1070,TR 15. V6,The Progress of Photography,H.W. Vogel,1883,None,1a ,E. Bierstadt,Collotype,specimens_resized/1070_S.JPG,specimens_resized_panel/1070_S.JPG
1073,TR 310.M85,Book of Instruction in Retouching Negative and Positive Photographs,John Wolfgang Morgeneier,1870,None,1a ,None,Albumen silver print,specimens_resized/1073_S.JPG,specimens_resized_panel/1073_S.JPG
1074,TR 310.M85,Book of Instruction in Retouching Negative and Positive Photographs,John Wolfgang Morgeneier,1870,None,1b,None,Albumen silver print,specimens_resized/1074_S.JPG,specimens_resized_panel/1074_S.JPG
1081,TR 330. H44,The Practical Printer,Charles Hearn,1878,None,1a,None,Albumen silver print,specimens_resized/1081_S.JPG,specimens_resized_panel/1081_S.JPG
1082,TR 330.H43,The Practical Printer,Charles Hearn,1874,None,1a,None,Albumen silver print,specimens_resized/1082_S.JPG,specimens_resized_panel/1082_S.JPG
1083,TR 330. M2,Popular Photographic Printing Processes,None,1898,None,1a,None,Gelatin silver DOP,specimens_resized/1083_S.JPG,specimens_resized_panel/1083_S.JPG
1084,TR 330. R6,The Art and Practice of Silver Printing,Henry Peach Robinson and R.E. Abney,1881,None,1a,None,Carbon print,specimens_resized/1084_S.JPG,specimens_resized_panel/1084_S.JPG
1085,TR 375. E78,The Ferrotype and How to Make It,Edward M. Estabrooke,1872,None,1a,Edward M. Estabrooke,Tintype,specimens_resized/1085_S.JPG,specimens_resized_panel/1085_S.JPG
1086,TR 375. E78,The Ferrotype and How to Make It,Edward M. Estabrooke,1872,None,backmatter,Edward M. Estabrooke,Tintype,specimens_resized/1086_S.JPG,specimens_resized_panel/1086_S.JPG
1087,TR 375. E79 (copy 1) ,The Ferrotype and How to Make It,Edward M. Estabrooke,1873,None,1a,Edward M. Estabrooke,Tintype,specimens_resized/1087_S.JPG,specimens_resized_panel/1087_S.JPG
1088,TR 375. E79 (copy 2),The Ferrotype and How to Make It,Edward M. Estabrooke,1873,None,1b,Edward M. Estabrooke,Tintype,specimens_resized/1088_S.JPG,specimens_resized_panel/1088_S.JPG
1089,TR 440. S 27,The ABC Guide to Autotype Printing,Autotype Company,1899,None,1a,None,Carbon print,specimens_resized/1089_S.JPG,specimens_resized_panel/1089_S.JPG
1090,TR 440. S 27,The ABC Guide to Autotype Printing,Autotype Company,1899,None,39a,Autotype Co.,Collotype,specimens_resized/1090_S.JPG,specimens_resized_panel/1090_S.JPG
1129,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 1,None,Salted paper print,specimens_resized/1129_S.JPG,specimens_resized_panel/1129_S.JPG
1130,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 2,None,Salted paper print,specimens_resized/1130_S.JPG,specimens_resized_panel/1130_S.JPG
1131,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 3,None,Cyanotype,specimens_resized/1131_S.JPG,specimens_resized_panel/1131_S.JPG
1132,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 4,None,Cyanotype,specimens_resized/1132_S.JPG,specimens_resized_panel/1132_S.JPG
1133,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 5,None,Cyanotype,specimens_resized/1133_S.JPG,specimens_resized_panel/1133_S.JPG
1134,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 6,None,Cyanotype,specimens_resized/1134_S.JPG,specimens_resized_panel/1134_S.JPG
1135,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 7,None,Ferrogallate print,specimens_resized/1135_S.JPG,specimens_resized_panel/1135_S.JPG
1136,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 8,None,Carbon print,specimens_resized/1136_S.JPG,specimens_resized_panel/1136_S.JPG
1137,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 9,None,Uranium print,specimens_resized/1137_S.JPG,specimens_resized_panel/1137_S.JPG
1138,TR 920. L71 copy 2,Modern Heliographic Processes,Ernst Leitze,1891,None,frontmatter 10,None,Uranium print,specimens_resized/1138_S.JPG,specimens_resized_panel/1138_S.JPG
1139,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,9,None,Cyanotype,specimens_resized/1139_S.JPG,specimens_resized_panel/1139_S.JPG
1140,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,11,None,Cyanotype paper,specimens_resized/1140_S.JPG,specimens_resized_panel/1140_S.JPG
1141,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,13,None,Cyanotype,specimens_resized/1141_S.JPG,specimens_resized_panel/1141_S.JPG
1142,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,15,None,Cyanotype paper,specimens_resized/1142_S.JPG,specimens_resized_panel/1142_S.JPG
1143,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,17,None,Cyanotype,specimens_resized/1143_S.JPG,specimens_resized_panel/1143_S.JPG
1144,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,19,None,Cyanotype paper,specimens_resized/1144_S.JPG,specimens_resized_panel/1144_S.JPG
1145,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,21,None,Cyanotype,specimens_resized/1145_S.JPG,specimens_resized_panel/1145_S.JPG
1146,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,23,None,Cyanotype paper,specimens_resized/1146_S.JPG,specimens_resized_panel/1146_S.JPG
1147,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,25,None,Ferrogallate print,specimens_resized/1147_S.JPG,specimens_resized_panel/1147_S.JPG
1148,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,27,None,Cyanotype,specimens_resized/1148_S.JPG,specimens_resized_panel/1148_S.JPG
1149,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,29,None,Cyanotype paper,specimens_resized/1149_S.JPG,specimens_resized_panel/1149_S.JPG
1150,TR 920. S33,"Blue and Black Process Paper, Heliography",Schindler Bros.,1891,None,31,None,Cyanotype,specimens_resized/1150_S.JPG,specimens_resized_panel/1150_S.JPG
1151,TR 925. N5,Rechereches Photographiques,"Niepce de Saint-Victor, Calude Marie Francois",1855,None,1a,Pauline Riffaut,Photogravure,specimens_resized/1151_S.JPG,specimens_resized_panel/1151_S.JPG
